50,,rail,ATTACHMENTS_ELO,elofmg,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm,0,0,TRUE,rifle,fmg,3,0,0,0,0,,attachment_icon_showcase_elosight
51,,rail,ATTACHMENTS_ELO,elolmg,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm,0,0,TRUE,mg,,3,0,0,0,0,,attachment_icon_showcase_elosight
52,,rail,ATTACHMENTS_ELO,elopstl,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm,0,0,TRUE,pistol,,3,0,0,0,0,,attachment_icon_showcase_elosight
53,,rail,ATTACHMENTS_ELO,elonrg,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm,0,0,TRUE,pistol,nrg,3,0,0,0,0,,attachment_icon_showcase_elosight
54,,rail,ATTACHMENTS_ELO,eloshtgn,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm,0,0,TRUE,spread,,3,0,0,0,0,,attachment_icon_showcase_elosight
55,,rail,ATTACHMENTS_ELO,elosmg,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm,0,0,TRUE,smg,,3,0,0,0,0,,attachment_icon_showcase_elosight
56,,rail,ATTACHMENTS_ELO,elokbs,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm,0,0,TRUE,sniper,kbs,stasis,3,0,-17,0,0,,attachment_icon_showcase_elosight
57,,rail,ATTACHMENTS_ELO,elom8,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm,0,0,TRUE,sniper,m8,3,0,-17,0,0,,attachment_icon_showcase_elosight
58,,rail,ATTACHMENTS_VZSCOPE,vzscope,vzscope,attachment_icon_slot_variablescope,ATTACHMENTS_DESC_VARIABLE_ZOOM_SCOPE,,1,0,FALSE,sniper,,7,0,3,0,0,,attachment_icon_showcase_variablescope
59,,rail,ATTACHMENTS_VZSCOPE,kbsvzscope,vzscope,attachment_icon_slot_variablescope,ATTACHMENTS_DESC_VARIABLE_ZOOM_SCOPE,,1,0,FALSE,sniper,kbs,stasis,7,0,3,0,0,,attachment_icon_showcase_variablescope
60,,rail,ATTACHMENTS_OSCOPE,oscope,oscope,attachment_icon_slot_tracklechip,ATTACHMENTS_DESC_OSCOPE,,1,0,FALSE,sniper,,8,0,0,0,0,,attachment_icon_showcase_tracklechip
61,,rail,ATTACHMENTS_OSCOPE,kbsoscope,oscope,attachment_icon_slot_tracklechip,ATTACHMENTS_DESC_OSCOPE,,1,0,FALSE,sniper,kbs,stasis,8,0,0,0,0,,attachment_icon_showcase_tracklechip
62,,rail,ATTACHMENTS_SMART,smart,smart,attachment_icon_slot_smartshot,ATTACHMENTS_DESC_SMART,attachment_pelletdisplay_vm,0,0,TRUE,spread,,10,0,3,0,0,,attachment_icon_showcase_smartshot
63,,barrel,ATTACHMENTS_SILENCER,silencer,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,attachment_suppressor_4_vm,0,0,FALSE,rifle,mg,,3,0,-5,0,0,,attachment_icon_showcase_supressor
64,,barrel,ATTACHMENTS_SILENCER,silencersmg,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,attachment_suppressor_5_vm,0,0,FALSE,smg,,3,0,-5,0,0,,attachment_icon_showcase_supressor
65,,barrel,ATTACHMENTS_SILENCER,silencerpstl,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,attachment_suppressor_5_vm,0,0,FALSE,pistol,,3,0,-5,0,0,,attachment_icon_showcase_supressor
66,,barrel,ATTACHMENTS_SILENCER,silencershtgn,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,attachment_suppressor_5_vm,0,0,FALSE,spread,,3,0,-5,0,0,,attachment_icon_showcase_supressor
67,,barrel,ATTACHMENTS_SILENCER,silencersniperhide,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,,0,0,FALSE,sniper,kbs,stasis,3,0,-5,0,0,,attachment_icon_showcase_supressor
68,,barrel,ATTACHMENTS_SILENCER_ENERGY,silencersniperhidee,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,,0,0,FALSE,sniper,m8,3,0,-5,0,0,,attachment_icon_showcase_supressore
69,,barrel,ATTACHMENTS_SILENCER_ENERGY,silencere,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,attachment_suppressor_energy_1_vm,0,1,FALSE,rifle,mg,,3,0,-5,0,0,,attachment_icon_showcase_supressore
70,,barrel,ATTACHMENTS_SILENCER_ENERGY,silencere_gold,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,attachment_suppressor_energy_1_vm_gold,0,0,FALSE,rifle,mg,ake_gold,3,0,-5,0,0,,attachment_icon_showcase_supressore
71,,barrel,ATTACHMENTS_SILENCER_ENERGY,silencerefmg,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,attachment_suppressor_energy_1_vm,0,0,FALSE,rifle,fmg,3,0,-5,0,0,,attachment_icon_showcase_supressore
72,,barrel,ATTACHMENTS_SILENCER_ENERGY,silencersmge,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,attachment_suppressor_energy_1_vm,0,1,FALSE,smg,,3,0,-5,0,0,,attachment_icon_showcase_supressore
73,,barrel,ATTACHMENTS_SILENCER_ENERGY,silencerpstle,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,attachment_suppressor_energy_2_vm,0,1,FALSE,pistol,,3,0,-5,0,0,,attachment_icon_showcase_supressore
74,,barrel,ATTACHMENTS_SILENCER_ENERGY,silencershtgne,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,attachment_suppressor_energy_1_vm,0,1,FALSE,spread,,3,0,-5,0,0,,attachment_icon_showcase_supressore
75,,barrel,ATTACHMENTS_SILENCER_SONIC,silencershtgns,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_SONIC,attachment_suppressor_5_vm,0,0,FALSE,spread,sonic,3,0,-5,0,0,,attachment_icon_showcase_supressore
76,,barrel,ATTACHMENTS_BARREL_RANGE,barrelrange,barrelrange,attachment_icon_slot_riflebarrel,ATTACHMENTS_DESC_BARREL_RANGE,,0,0,FALSE,rifle,mg,,0,0,10,0,0,,attachment_icon_showcase_riflebarrel
77,,barrel,ATTACHMENTS_BARREL_RANGE_ENERGY,barrelrangeesdfar,barrelrange,attachment_icon_slot_particleboost,ATTACHMENTS_DESC_BARREL_RANGE_ENERGY,,0,0,FALSE,rifle,sdfar,gambit,0,0,10,0,0,,attachment_icon_showcase_particleboost
78,,barrel,ATTACHMENTS_BARREL_RANGE,barrelrangesmg,barrelrange,attachment_icon_slot_riflebarrel,ATTACHMENTS_DESC_BARREL_RANGE,,0,0,FALSE,smg,,0,0,10,0,0,,attachment_icon_showcase_riflebarrel
79,,barrel,ATTACHMENTS_BARREL_RANGE,barrelrangepstl,barrelrange,attachment_icon_slot_riflebarrel,ATTACHMENTS_DESC_BARREL_RANGE,,0,0,FALSE,pistol,,0,0,10,0,0,,attachment_icon_showcase_riflebarrel
80,,barrel,ATTACHMENTS_BARREL_RANGE,barrelrangeshtgn,barrelrange,attachment_icon_slot_riflebarrel,ATTACHMENTS_DESC_BARREL_RANGE,,0,0,FALSE,spread,,0,0,10,0,0,,attachment_icon_showcase_riflebarrel
81,,barrel,ATTACHMENTS_BARREL_RANGE_ENERGY,barrelrangesmge,barrelrange,attachment_icon_slot_particleboost,ATTACHMENTS_DESC_BARREL_RANGE_ENERGY,,0,1,FALSE,smg,,0,0,10,0,0,,attachment_icon_showcase_particleboost
82,,barrel,ATTACHMENTS_BARREL_RANGE_ENERGY,barrelrangee,barrelrange,attachment_icon_slot_particleboost,ATTACHMENTS_DESC_BARREL_RANGE_ENERGY,,0,1,FALSE,rifle,mg,,0,0,10,0,0,,attachment_icon_showcase_particleboost
83,,barrel,ATTACHMENTS_BARREL_RANGE_ENERGY,barrelrangepstle,barrelrange,attachment_icon_slot_particleboost,ATTACHMENTS_DESC_BARREL_RANGE_ENERGY,,0,1,FALSE,pistol,,0,0,10,0,0,,attachment_icon_showcase_particleboost
84,,barrel,ATTACHMENTS_BARREL_RANGE_ENERGY,barrelrangeshtgne,barrelrange,attachment_icon_slot_particleboost,ATTACHMENTS_DESC_BARREL_RANGE_ENERGY,,0,1,FALSE,spread,,0,0,10,0,0,,attachment_icon_showcase_particleboost
85,,barrel,ATTACHMENTS_BARREL_RANGE_SONIC,barrelrangeshtgns_sp,barrelrange,attachment_icon_slot_speakeramp,ATTACHMENTS_DESC_BARREL_RANGE_SONIC,,0,0,FALSE,spread,sonic,0,0,10,0,0,,attachment_icon_showcase_speakeramp
86,,undermount,ATTACHMENTS_GRIP,grip,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,1,FALSE,mg,,7,0,0,0,0,,attachment_icon_showcase_foregrip
87,,undermount,ATTACHMENTS_GRIP,griphide,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,rifle,mg,spread,smg,,7,0,0,0,0,,attachment_icon_showcase_foregrip
88,,undermount,ATTACHMENTS_GRIP,griperad,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,smg,erad,7,0,0,0,0,,attachment_icon_showcase_foregrip
89,,undermount,ATTACHMENTS_GRIP,gripake,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,rifle,ake,7,0,0,0,0,,attachment_icon_showcase_foregrip
90,,undermount,ATTACHMENTS_GRIP,gripake_gold,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,rifle,ake_gold,7,0,0,0,0,,attachment_icon_showcase_foregrip
91,,undermount,ATTACHMENTS_GRIP,gripar57,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,rifle,ar57,7,0,0,0,0,,attachment_icon_showcase_foregrip
92,,undermount,ATTACHMENTS_GRIP,gripm4,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,rifle,m4,7,0,0,0,0,,attachment_icon_showcase_foregrip
93,,undermount,ATTACHMENTS_GRIP,gripsdfar,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,rifle,sdfar,gambit,7,0,0,0,0,,attachment_icon_showcase_foregrip
94,,undermount,ATTACHMENTS_GRIP,gripcrbl,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,smg,crb,7,0,0,0,0,,attachment_icon_showcase_foregrip
95,,undermount,ATTACHMENTS_GRIP,gripripperr,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,smg,ripper,7,0,0,0,0,,attachment_icon_showcase_foregrip
96,,undermount,ATTACHMENTS_GRIP,gripump45l,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,smg,ump45,7,0,0,0,0,,attachment_icon_showcase_foregrip
97,,undermount,ATTACHMENTS_GRIP,gripsnpr,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,sniper,,7,0,0,0,0,,attachment_icon_showcase_foregrip
98,,undermount,ATTACHMENTS_GRIP,gripsnpre,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,1,FALSE,sniper,,7,0,0,0,0,,attachment_icon_showcase_foregrip
99,,undermount,ATTACHMENTS_GRIP,gripfmg,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,rifle,fmg,7,0,0,0,0,,attachment_icon_showcase_foregrip
100,,undermount,ATTACHMENTS_GRIP,gripshtgn,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,spread,,7,0,0,0,0,,attachment_icon_showcase_foregrip
101,,undermount,ATTACHMENTS_GRIP,gripsdfshotty,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,spread,sdfshotty,7,0,0,0,0,,attachment_icon_showcase_foregrip
102,,undermount,ATTACHMENTS_GRIP,gripdevastator,grip,attachment_icon_slot_foregrip,ATTACHMENTS_VERTICAL_FOREGRIP_FOR,,0,0,FALSE,spread,devastator,7,0,0,0,0,,attachment_icon_showcase_foregrip
103,,undermount,ATTACHMENTS_CPU,cpu,cpu,attachment_icon_slot_ballisticcpu,ATTACHMENTS_DESC_CPU,,0,0,FALSE,sniper,,4,0,0,0,0,,attachment_icon_showcase_ballisticcpu
104,,undermount,ATTACHMENTS_AKIMBO,akimbo,akimbo,attachment_icon_slot_akimbo,ATTACHMENTS_DESC_AKIMBO,,0,0,FALSE,pistol,,-10,20,0,10,0,,attachment_icon_showcase_akimbo
105,,undermount,ATTACHMENTS_AKIMBO,akimboemc,akimbo,attachment_icon_slot_akimbo,ATTACHMENTS_DESC_AKIMBO,,0,0,FALSE,pistol,emc,-10,20,0,10,0,,attachment_icon_showcase_akimbo
106,,undermount,ATTACHMENTS_AKIMBO,akimbonrg,akimbo,attachment_icon_slot_akimbo,ATTACHMENTS_DESC_AKIMBO,,0,0,FALSE,pistol,nrg,-10,20,0,10,0,,attachment_icon_showcase_akimbo
107,,undermount,ATTACHMENTS_AKIMBO,akimbog18,akimbo,attachment_icon_slot_akimbo,ATTACHMENTS_DESC_AKIMBO,,0,0,FALSE,pistol,g18,-10,20,0,10,0,,attachment_icon_showcase_akimbo
108,,undermount,ATTACHMENTS_AKIMBO,akimbofmg_sp,akimbo,attachment_icon_slot_akimbo,ATTACHMENTS_DESC_AKIMBO,,0,0,FALSE,default,fmg,-10,20,0,10,0,,attachment_icon_showcase_akimbo
109,,unique,ATTACHMENTS_REFLECT,reflect,reflect,attachment_icon_slot_ricochet,ATTACHMENTS_DESC_REFLECT,,0,1,FALSE,rifle,mg,sniper,smg,pistol,,0,7,0,0,0,,attachment_icon_showcase_ricochet
110,,unique,ATTACHMENTS_ROF,rof,rof,attachment_icon_slot_automaticfire,ATTACHMENTS_DESC_ROF,,0,0,FALSE,smg,,-7,0,0,10,0,,attachment_icon_showcase_automaticfire
