a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,,,,,
15,zm_icon_rank_8,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
16,zm_icon_rank_8,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
17,zm_icon_rank_9,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
18,zm_icon_rank_9,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
19,zm_icon_rank_10,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
20,zm_icon_rank_10,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
21,zm_icon_rank_11,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
22,zm_icon_rank_11,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
23,zm_icon_rank_12,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
24,zm_icon_rank_12,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
25,zm_icon_rank_12,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
26,zm_icon_rank_13,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
27,zm_icon_rank_13,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
28,zm_icon_rank_14,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
29,zm_icon_rank_14,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,,,,,
30,zm_icon_rank_15,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,,,,,
31,zm_icon_rank_16,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,,,,,
32,zm_icon_rank_17,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,,,,,
33,zm_icon_rank_18,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,,,,,
34,zm_icon_rank_19,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,,,,,
