-1,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,ab27,ac28,ad29,ae30,af31,ag32,ah33,ai34,aj35,ak36,al37,am38,an39,ao40,ap41,aq42,ar43,as44,at45,au46,av47,aw48,ax49,AY50,az51
14,weapon_smg,weapon_smg,WEAPON_MP28,iw7_mp28,iw7_mp28_mp,render_weapon_slot_mp28_mp,PERKS_SMG_MP28,0.98,scope,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,,65,58,50,80,80,,,weapon_profile_fads_f,assault|scout|assassin|engineer,run_and_gun|cqb,hardened|veteran,7,14,1,,full_auto_fire_mode,,7,1,,0.92,1
15,weapon_smg,weapon_smg,WEAPON_TACBURST,iw7_tacburst,iw7_tacburst_mp,render_weapon_slot_tacburst_mp,PERKS_SMG_TACBURST,0.98,scope gl,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,,74,60,64,85,80,,,weapon_profile_kriss_f,,,,8,13,1,,burst_fire_mode_3_round,,8,1,,0.95,1
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,weapon_melee,weapon_melee,WEAPON_KNIFE_ONLY,iw7_knife,iw7_knife_mp,render_weapon_slot_knife_mp,PERKS_KNIFE_ONLY_DESC,0.98,,,,,,,,,,,,,,,,,,,,,,0,90,5,0,80,,,weapon_profile_knifeonly_f,assault|scout|assassin|heavy|engineer,cqb,recruit|regular|hardened|veteran,1,0,0,,,,,0,,1,
18,weapon_melee,weapon_melee,WEAPON_FISTS,iw7_fists,iw7_fists_mp,icon_weapon_render_fists,PERKS_FISTS_DESC,0.98,,,,,,,,,,,,,,,,,,,,,,0,65,5,0,80,,,weapon_profile_fists_f,assault|scout|assassin|heavy|engineer,cqb,recruit|regular|hardened|veteran,-1,0,0,,,,,0,,1,
19,weapon_melee,weapon_melee,WEAPON_AXE,iw7_axe,iw7_axe_mpr_melee,render_weapon_slot_axe_mp,PERKS_AXE_DESC,0.98,axefists,,,,,,,,,,,,,,,,,,,,,0,90,5,0,80,,,weapon_profile_axe_f,assault|scout|assassin|heavy|engineer,cqb,recruit|regular|hardened|veteran,2,0,1,,,,,0,,1,1
20,weapon_melee,weapon_melee,WEAPON_KATANA,iw7_katana,iw7_katana_mp,render_weapon_slot_katana_mp,PERKS_KATANA_DESC,0.98,,,,,,,,,,,,,,,,,,,,,,0,90,8,0,80,,,weapon_profile_knifeonly_f,,,,3,0,1,,,,,0,,1,1
21,weapon_melee,weapon_melee,WEAPON_NUNCHUCKS,iw7_nunchucks,iw7_nunchucks_mp,render_weapon_slot_nunchucks_mp,PERKS_NUNCHUCKS_DESC,0.98,,,,,,,,,,,,,,,,,,,,,,0,90,8,0,80,,,weapon_profile_knifeonly_f,,,,4,0,1,,,,,0,,1,1
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,weapon_assault,weapon_assault,WEAPON_AR57,iw7_ar57,iw7_ar57_mp,render_weapon_slot_ar57_mp,PERKS_AR_AR57,0.96,scope,highcal,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,62,68,76,79,74,,,weapon_profile_fads_f,assault,run_and_gun|cqb|camper,hardened|veteran,3,14,1,,full_auto_fire_mode,,5,1,,0.92,
24,weapon_assault,weapon_assault,WEAPON_AKE,iw7_ake,iw7_ake_mpl,render_weapon_slot_ake_mpl,PERKS_AR_AKE,0.94,scope,highcal,hipaim,stock,fastaim,xmagse,reflect,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,67,72,85,62,65,,,weapon_profile_ak12_f,assault,run_and_gun|cqb|camper,hardened|veteran,5,14,1,,full_auto_fire_mode,,1,1,,0.92,
25,weapon_assault,weapon_assault,WEAPON_M4,iw7_m4,iw7_m4_mp,render_weapon_slot_m4_mp,PERKS_AR_M4,0.94,scope,highcal,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,85,60,88,71,65,,,weapon_profile_ak12_f,assault,run_and_gun|cqb|camper,recruit|regular|hardened,1,14,1,,full_auto_fire_mode,,3,1,,0.92,
26,weapon_assault,weapon_assault,WEAPON_FMG,iw7_fmg,iw7_fmg_mp,render_weapon_slot_fmg_mp,PERKS_AR_FMG,0.94,akimbo scope,highcal,hipaim,stock,fastaim,xmagse,reflect,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,81,57,92,82,65,,,weapon_profile_vepr_f,assault|scout|assassin,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,4,14,1,,full_auto_fire_mode,akimbo_action_fire_mode,4,1,,0.92,
27,weapon_assault,weapon_assault,WEAPON_SDFAR,iw7_sdfar,iw7_sdfar_mp,render_weapon_slot_sdfar_mp,PERKS_AR_SDFAR,0.94,,highcal,hipaim,stock,fastaim,xmagse,reflect,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,76,70,78,80,65,,,weapon_profile_ak12_f,assault|scout|assassin|sniper,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,2,14,1,,burst_fire_mode_3_round,,2,1,,0.92,
28,weapon_assault,weapon_assault,WEAPON_RVN,iw7_rvn,iw7_rvn_mp,render_weapon_slot_rvn_mp,PERKS_AR_RVN,0.94,scope meleervn,highcal,hipaim,stock,fastaim,xmagse,reflect,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,83,65,95,75,65,,,weapon_profile_vepr_f,assault|scout|assassin|sniper,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,6,14,1,,burst_fire_mode_2_round,melee_action,6,1,,0.92,1
29,weapon_assault,weapon_assault,WEAPON_VR,iw7_vr,iw7_vr_mp,render_weapon_slot_vr_mp,PERKS_AR_VR,0.94,scope,highcal,hipaim,stock,fastaim,xmagse,reflect,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,80,65,90,78,65,,,weapon_profile_ak12_f,assault,run_and_gun|cqb|camper,recruit|regular|hardened,7,14,1,,full_auto_fire_mode,,7,1,,0.92,1
30,weapon_assault,weapon_assault,WEAPON_GAUSS,iw7_gauss,iw7_gauss_mp,render_weapon_slot_gauss_mp,PERKS_AR_GAUSS,0.94,scope,highcal,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,82,80,90,68,65,,,weapon_profile_ak12_f,assault,run_and_gun|cqb|camper,recruit|regular|hardened,8,14,1,,semi_auto_fire_mode,,8,1,,0.92,1
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,weapon_projectile,weapon_projectile,WEAPON_GLPROX,iw7_glprox,iw7_glprox_mp,render_weapon_slot_glprox_mp,PERKS_LAUNCHER_GLPROX,0.94,scope,,,,,,,,,,,,,,,,,,,,,20,84,35,28,70,,,weapon_profile_mk32_f,assault|heavy|engineer,run_and_gun,regular|hardened|veteran,3,0,1,,pump_action_fire_mode,,2,0,,0.9,
33,weapon_projectile,weapon_projectile,WEAPON_CHARGESHOT,iw7_chargeshot,iw7_chargeshot_mp,render_weapon_slot_chargeshot_mp,PERKS_LAUNCHER_CHARGESHOT_DESC,0.9,scope,,,,,,,,,,,,,,,,,,,,,80,86,80,10,70,,,weapon_profile_maaws_f,assault|heavy|engineer,run_and_gun,regular|hardened|veteran,2,0,1,,semi_auto_fire_mode,,3,0,,0.8,
34,weapon_projectile,weapon_projectile,WEAPON_LOCKON,iw7_lockon,iw7_lockon_mp,render_weapon_slot_lockon_mp,PERKS_LAUNCHER_LOCKON_DESC,0.9,scope,,,,,,,,,,,,,,,,,,,,,85,80,85,5,70,,,weapon_profile_mk32_f,assault|heavy|engineer,run_and_gun,recruit|regular|hardened|veteran,1,0,1,,single_fire_mode,,1,0,,0.8,
35,weapon_projectile,weapon_projectile,WEAPON_VENOMX,iw7_venomx,iw7_venomx_mp,render_weapon_slot_venomx_mp,PERKS_LAUNCHER_VENOMX_DESC,0.9,gl,,,,,,,,,,,,,,,,,,,,,74,82,88,40,70,,,weapon_profile_maaws_f,,,,4,0,0,,semi_auto_fire_mode,,0,0,,0.8,1
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,weapon_sniper,weapon_sniper,WEAPON_KBS,iw7_kbs,iw7_kbs_mp,render_weapon_slot_kbs_mp,PERKS_SNIPER_KBS,0.925,scope,stock,xmags,fmj,grip,cpu,silencer,fastaim,vzscope,oscope,acog,thermal,elo,,,,,,,,,82,86,90,33,58,,,weapon_profile_l115a3_f,assassin|sniper,camper|run_and_gun,recruit|regular|hardened,1,12,1,,bolt_action_fire_mode,,1,1,noscope,0.9,
38,weapon_sniper,weapon_sniper,WEAPON_CHEYTAC,iw7_cheytac,iw7_cheytac_mpr,render_weapon_slot_cheytac_mpr,PERKS_SNIPER_CHEYTAC,0.94,scope,stock,xmags,fmj,grip,cpu,silencer,fastaim,vzscope,oscope,acog,thermal,elo,,,,,,,,,85,83,90,54,65,,,weapon_profile_usr_f,assassin|sniper,camper|run_and_gun,hardened|veteran,3,12,1,,bolt_action_fire_mode,,3,1,noscope,0.9,
39,weapon_sniper,weapon_sniper,WEAPON_M8,iw7_m8,iw7_m8_mp,render_weapon_slot_m8_mp,PERKS_SNIPER_M8,0.94,scope arm8,stock,xmagse,reflect,grip,cpu,silencer,fastaim,vzscope,oscope,acog,thermal,elo,,,,,,,,,78,88,90,40,65,,,weapon_profile_gm6_f,assassin|sniper,camper|run_and_gun,recruit|regular|hardened|veteran,2,12,1,,semi_auto_fire_mode,full_auto_fire_mode,4,1,noscope,0.9,
40,weapon_sniper,weapon_sniper,WEAPON_M1,iw7_m1,iw7_m1_mp,render_weapon_slot_m1_mp,PERKS_DMR_M1,0.94,scope,stock,xmags,fmj,grip,cpu,silencer,fastaim,vzscope,oscope,acog,thermal,elo,,,,,,,,,80,78,82,44,65,,,weapon_profile_mk14_f,assassin|sniper,camper|run_and_gun,hardened|veteran,4,12,1,,semi_auto_fire_mode,,2,1,noscope,0.92,
41,weapon_sniper,weapon_sniper,WEAPON_BA50CAL,iw7_ba50cal,iw7_ba50cal_mp,render_weapon_slot_ba50cal_mp,PERKS_SNIPER_BA50CAL,0.9,scope,stock,fmj,grip,cpu,silencer,fastaim,vzscope,oscope,acog,thermal,elo,,,,,,,,,,72,95,90,30,58,,,weapon_profile_l115a3_f,,,,5,11,1,,break_action_fire_mode,,5,1,noscope,0.9,1
42,weapon_sniper,weapon_sniper,WEAPON_LONGSHOT,iw7_longshot,iw7_longshot_mp,render_weapon_slot_longshot_mp,PERKS_SNIPER_LONGSHOT,0.94,scope shotgunlongshot,stock,xmags,fmj,grip,cpu,silencer,fastaim,vzscope,oscope,acog,thermal,elo,,,,,,,,,80,82,90,58,72,,,weapon_profile_usr_f,,,,6,12,1,,pump_action_fire_mode,,6,1,noscope,0.9,1
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,weapon_shotgun,weapon_shotgun,WEAPON_DEVASTATOR,iw7_devastator,iw7_devastator_mp,render_weapon_slot_devastator_mp,PERKS_SHOTGUN_DEVASTATOR,0.98,scope,hipaim,stock,grip,fastaim,silencer,barrelrange,xmags,reflex,phase,elo,smart,,,,,,,,,,40,82,22,45,80,,,weapon_profile_maul_f,assault|scout|heavy|engineer,run_and_gun|cqb,recruit|regular|hardened,1,10,1,,semi_auto_fire_mode,,2,1,,0.95,
45,weapon_shotgun,weapon_shotgun,WEAPON_SPAS,iw7_spas,iw7_spas_mpr,render_weapon_slot_spas_mp,PERKS_SHOTGUN_SPAS,0.98,,hipaim,stock,grip,fastaim,silencer,barrelrange,xmags,reflex,phase,elo,smart,,,,,,,,,,50,86,27,34,80,,,weapon_profile_fp6_f,assault|scout|heavy|engineer,run_and_gun|cqb,hardened|veteran,4,10,1,,pump_action_fire_mode,,4,1,,0.95,
46,weapon_shotgun,weapon_shotgun,WEAPON_SONIC,iw7_sonic,iw7_sonic_mpr,render_weapon_slot_sonic_mpr,PERKS_SHOTGUN_SONIC,0.98,scope,hipaim,stock,grip,fastaim,silencer,barrelrange,xmagse,reflex,phase,elo,smart,,,,,,,,,,45,84,26,36,80,,,weapon_profile_sonic_f,assault|scout|heavy|engineer,run_and_gun|cqb,recruit|regular|hardened,2,10,1,,pump_action_fire_mode,,1,1,,0.95,
47,weapon_shotgun,weapon_shotgun,WEAPON_SDFSHOTTY,iw7_sdfshotty,iw7_sdfshotty_mp,render_weapon_slot_sdfshotty_mp,PERKS_SHOTGUN_SDFSHOTTY,0.98,scope,hipaim,stock,grip,fastaim,silencer,barrelrange,xmagse,reflex,phase,elo,smart,,,,,,,,,,30,80,18,61,80,,,weapon_profile_sdfshotty_f,assault|scout|heavy|engineer,run_and_gun|cqb,hardened|veteran,3,10,1,,full_auto_fire_mode,,3,1,,0.95,
48,weapon_shotgun,weapon_shotgun,WEAPON_MOD2187,iw7_mod2187,iw7_mod2187_mp,render_weapon_slot_mod2187_mp,PERKS_SHOTGUN_MOD2187,0.98,scope,hipaim,stock,grip,fastaim,silencer,barrelrange,xmags,reflex,phase,elo,smart,akimbo,,,,,,,,,45,85,32,30,80,,,weapon_profile_sdfshotty_f,,,,5,11,1,,lever_action_fire_mode,,5,1,,0.95,1
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,weapon_lmg,weapon_lmg,WEAPON_MAULER,iw7_mauler,iw7_mauler_mp,render_weapon_slot_mauler_mp,PERKS_LMG_MAULER,0.9,,highcal,hipaim,stock,fastaim,xmags,fmj,silencer,barrelrange,grip,reflex,acog,thermal,hybrid,phase,elo,,,,,,45,51,54,85,50,,,weapon_profile_mauler_f,assault|heavy,camper|run_and_gun,recruit|regular|hardened|veteran,2,14,1,,full_auto_fire_mode,,2,1,,0.85,
51,weapon_lmg,weapon_lmg,WEAPON_SDFLMG,iw7_sdflmg,iw7_sdflmg_mp,render_weapon_slot_sdflmg_mp,PERKS_LMG_SDFLMG,0.9,,highcal,hipaim,stock,fastaim,xmagse,reflect,silencer,barrelrange,grip,reflex,acog,thermal,hybrid,phase,elo,,,,,,55,65,80,63,50,,,weapon_profile_ameli_f,assault|heavy,camper|run_and_gun,recruit|regular|hardened|veteran,1,14,1,,full_auto_fire_mode,,3,1,,0.85,
52,weapon_lmg,weapon_lmg,WEAPON_LMG03,iw7_lmg03,iw7_lmg03_mp,render_weapon_slot_lmg03_mp,PERKS_LMG_LMG03,0.9,scope,highcal,hipaim,stock,fastaim,xmagse,reflect,silencer,barrelrange,grip,reflex,acog,thermal,hybrid,phase,elo,,,,,,52,58,86,72,50,,,weapon_profile_ameli_f,assault|heavy,camper|run_and_gun,recruit|regular|hardened|veteran,3,14,1,,full_auto_fire_mode,,1,1,,0.85,
53,weapon_lmg,weapon_lmg,WEAPON_MINILMG,iw7_minilmg,iw7_minilmg_mp,render_weapon_slot_minilmg_mp,PERKS_LMG_MINILMG,0.9,scope,highcal,hipaim,stock,fastaim,xmags,fmj,barrelrange,grip,reflex,acog,thermal,hybrid,phase,elo,,,,,,,40,60,72,80,50,,,weapon_profile_mauler_f,assault|heavy,camper|run_and_gun,recruit|regular|hardened|veteran,4,13,1,,full_auto_fire_mode,,4,1,,0.85,1
54,weapon_lmg,weapon_lmg,WEAPON_UNSALMG,iw7_unsalmg,iw7_unsalmg_mp,render_weapon_slot_unsalmg_mp,PERKS_LMG_UNSALMG,0.92,scope gl,highcal,hipaim,stock,fastaim,xmags,fmj,silencer,barrelrange,grip,reflex,acog,thermal,hybrid,phase,elo,,,,,,64,62,90,82,60,,,weapon_profile_mauler_f,,,,5,14,1,,full_auto_fire_mode,,5,1,,0.85,1
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,weapon_pistol,weapon_classic_s,WEAPON_G18_CLASSIC,iw7_g18c,iw7_g18c_mp,render_weapon_slot_g18c_mp,PERKS_PISTOL_G18_CLASSIC,0.98,,reflex,phase,elo,hipaim,stock,fastaim,silencer,barrelrange,fmj,xmags,highcal,akimbo,,,,,,,,,47,55,36,98,80,,,weapon_profile_p226_f,assault|scout|assassin|sniper|heavy|engineer,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,1,11,1,,full_auto_fire_mode,,5,1,,0.98,
57,weapon_smg,weapon_classic_p,WEAPON_UMP45_CLASSIC,iw7_ump45c,iw7_ump45c_mp,render_weapon_slot_ump45c_mp,PERKS_SMG_UMP45_CLASSIC,0.98,,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,,66,62,70,68,80,,,weapon_profile_kriss_f,assault|scout|assassin|engineer,run_and_gun|cqb,recruit|regular|hardened|veteran,2,13,1,,full_auto_fire_mode,,3,1,,0.95,
58,weapon_sniper,weapon_classic_p,WEAPON_CHEYTAC_CLASSIC,iw7_cheytacc,iw7_cheytacc_mp,render_weapon_slot_cheytacc_mp,PERKS_SNIPER_CHEYTAC_CLASSIC,0.98,scope,stock,xmags,fmj,grip,cpu,silencer,fastaim,vzscope,oscope,acog,thermal,elo,,,,,,,,,85,85,90,34,80,,,weapon_profile_usr_f,assassin|sniper,camper|run_and_gun,recruit|regular|hardened|veteran,3,12,1,,bolt_action_fire_mode,,2,1,noscope,0.92,
59,weapon_sniper,weapon_classic_p,WEAPON_M1_CLASSIC,iw7_m1c,iw7_m1c_mp,render_weapon_slot_m1c_mp,PERKS_DMR_M1_CLASSIC,0.98,,highcal,stock,xmags,fmj,grip,hipaim,silencer,fastaim,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,80,78,82,49,70,,,weapon_profile_mk14_f,assassin|sniper,camper|run_and_gun,recruit|regular|hardened|veteran,5,14,1,,semi_auto_fire_mode,,1,1,,0.9,
60,weapon_shotgun,weapon_classic_p,WEAPON_SPAS_CLASSIC,iw7_spasc,iw7_spasc_mp,render_weapon_slot_spasc_mp,PERKS_SHOTGUN_SPAS_CLASSIC,0.98,,hipaim,stock,grip,fastaim,silencer,barrelrange,xmags,reflex,phase,elo,smart,,,,,,,,,,50,86,29,33,80,,,weapon_profile_fp6_f,assault|scout|heavy|engineer,run_and_gun|cqb,recruit|regular|hardened|veteran,4,10,1,,pump_action_fire_mode,,4,1,,0.95,
61,weapon_assault,weapon_classic_p,WEAPON_ARCLASSIC,iw7_arclassic,iw7_arclassic_mp,render_weapon_slot_arclassic_mp,PERKS_AR_ARCLASSIC,0.94,gl,highcal,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,elo,acog,thermal,hybrid,phase,reflex,,,,,,42,78,80,87,58,,,weapon_profile_fads_f,assault|scout|engineer,run_and_gun,recruit|regular|hardened|veteran,1,14,1,,full_auto_fire_mode,,6,1,,0.9,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,MENU_NONE,specialty_null,specialty_null,specialty_ks_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
64,,,MENU_NONE,none,none,weapon_missing_image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
