botPersonalities,default|run_and_gun,default|run_and_gun,default|run_and_gun,default|run_and_gun,cqb,cqb,cqb,cqb,camper,camper,camper,camper
loadoutStreak3,directional_uav,directional_uav,directional_uav,directional_uav,directional_uav,directional_uav,directional_uav,directional_uav,directional_uav,directional_uav,directional_uav,directional_uav
loadoutPerk1,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_stealth,perktable_stealth,perktable_stealth,perktable_stealth
loadoutPerk2,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_stealth,perktable_stealth,perktable_stealth,perktable_stealth
loadoutPerk3,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_stealth,perktable_stealth,perktable_stealth,perktable_stealth
loadoutPerk4,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_resistance,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_stealth,perktable_stealth,perktable_stealth,perktable_stealth
loadoutPerk5,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_resistance,perktable_speed_handling,perktable_speed_handling,perktable_speed_elite,perktable_speed_elite,perktable_stealth,perktable_stealth,perktable_stealth,perktable_stealth
loadoutPerk6,perktable_speed_handling,perktable_speed_handling,perktable_speed_handling,perktable_resistance,perktable_speed_handling,perktable_speed_handling,perktable_speed_elite,perktable_speed_elite,perktable_stealth,perktable_stealth,perktable_stealth,perktable_stealth
loadoutPerk7,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_resistance_elite,perktable_speed_elite,perktable_speed_elite,perktable_speed_elite,perktable_speed_elite,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk8,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_resistance_elite,perktable_speed_elite,perktable_speed_elite,perktable_speed_elite,perktable_speed_elite,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk9,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_resistance_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk10,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk11,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk12,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk13,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk14,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk15,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk16,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk17,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk18,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk19,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk20,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk21,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk22,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
loadoutPerk23,perktable_handling_equipment,perktable_handling_equipment,perktable_handling_equipment,perktable_equipment_elite,perktable_speed_elite,perktable_speed_elite,perktable_resistance,perktable_resistance,perktable_awareness,perktable_awareness,perktable_awareness,perktable_awareness
