a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
31,perk_gunslinger_1,0,1,CP_LOADOUT_PERK_GUNSLINGER,,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
32,perk_gunslinger_2,0,1,CP_LOADOUT_PERK_GUNSLINGER,,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
33,perk_gunslinger_3,0,2,CP_LOADOUT_PERK_GUNSLINGER,,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
34,perk_gunslinger_4,0,3,CP_LOADOUT_PERK_GUNSLINGER,,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
35,perk_hybrid,0,1,CP_LOADOUT_PERK_HYBRID,CP_LOADOUT_PERK_HYBRID_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_CLASS,,,,,,,,,,
36,perk_hybrid_1,0,1,CP_LOADOUT_PERK_HYBRID,,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
37,perk_hybrid_2,0,1,CP_LOADOUT_PERK_HYBRID,,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
38,perk_hybrid_3,0,2,CP_LOADOUT_PERK_HYBRID,,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
39,perk_hybrid_4,0,3,CP_LOADOUT_PERK_HYBRID,,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
40,perk_none,0,0,ALIENS_PERK_NONE,ALIENS_PERK_NONE_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_RELIC,,,,,,,,,,
41,perk_none_1,0,9999,ALIENS_PERK_NONE,ALIENS_PERK_NONE_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_RELIC,,,,,,,,,,
42,perk_none_2,0,9999,ALIENS_PERK_NONE,ALIENS_PERK_NONE_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_RELIC,,,,,,,,,,
43,perk_none_3,0,9999,ALIENS_PERK_NONE,ALIENS_PERK_NONE_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_RELIC,,,,,,,,,,
44,perk_none_4,0,9999,ALIENS_PERK_NONE,ALIENS_PERK_NONE_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_RELIC,,,,,,,,,,
100,perk_pistol_znrg,0,0,WEAPON_NRG,CP_LOADOUT_PISTOL_NRG_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
101,perk_pistol_znrg_1,0,1,WEAPON_NRG,CP_LOADOUT_PISTOL_NRG_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
102,perk_pistol_znrg_2,0,1,WEAPON_NRG,CP_LOADOUT_PISTOL_NRG_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
103,perk_pistol_znrg_3,0,2,WEAPON_NRG,CP_LOADOUT_PISTOL_NRG_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
104,perk_pistol_znrg_4,0,3,WEAPON_NRG,CP_LOADOUT_PISTOL_NRG_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
105,perk_pistol_magnum,0,0,ALIENS_PERK_PISTOL_MAGNUM,ALIENS_PERK_PISTOL_MAGNUM_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
106,perk_pistol_magnum_1,0,1,ALIENS_PERK_PISTOL_MAGNUM,ALIENS_PERK_PISTOL_MAGNUM_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
107,perk_pistol_magnum_2,0,1,ALIENS_PERK_PISTOL_MAGNUM,ALIENS_PERK_PISTOL_MAGNUM_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
108,perk_pistol_magnum_3,0,2,ALIENS_PERK_PISTOL_MAGNUM,ALIENS_PERK_PISTOL_MAGNUM_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
109,perk_pistol_magnum_4,0,3,ALIENS_PERK_PISTOL_MAGNUM,ALIENS_PERK_PISTOL_MAGNUM_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
110,perk_pistol_zg18,0,0,CP_LOADOUT_PISTOL_G18,CP_LOADOUT_PISTOL_G18_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
111,perk_pistol_zg18_1,0,1,CP_LOADOUT_PISTOL_G18,CP_LOADOUT_PISTOL_G18_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
112,perk_pistol_zg18_2,0,1,CP_LOADOUT_PISTOL_G18,CP_LOADOUT_PISTOL_G18_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
113,perk_pistol_zg18_3,0,2,CP_LOADOUT_PISTOL_G18,CP_LOADOUT_PISTOL_G18_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
114,perk_pistol_zg18_4,0,3,CP_LOADOUT_PISTOL_G18,CP_LOADOUT_PISTOL_G18_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
115,perk_pistol_zemc,0,0,CP_LOADOUT_PISTOL_EMC,CP_LOADOUT_PISTOL_EMC_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
116,perk_pistol_zemc_1,0,1,CP_LOADOUT_PISTOL_EMC,CP_LOADOUT_PISTOL_EMC_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
117,perk_pistol_zemc_2,0,1,CP_LOADOUT_PISTOL_EMC,CP_LOADOUT_PISTOL_EMC_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
118,perk_pistol_zemc_3,0,2,CP_LOADOUT_PISTOL_EMC,CP_LOADOUT_PISTOL_EMC_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
119,perk_pistol_zemc_4,0,3,CP_LOADOUT_PISTOL_EMC,CP_LOADOUT_PISTOL_EMC_DESC,alien_icon_laststand,1,ALIENS_CATEGORY_PISTOL_TYPE,,,,,,,,,,
200,perk_skill_infinite_ammo,0,0,CP_LOADOUT_SKILL_BULLET_DAMAGE,CP_LOADOUT_SKILL_BULLET_DAMAGE_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_SKILL,,perk_bullet_damage,1,,,,,,,
201,perk_skill_infinite_ammo_1,0,1,CP_LOADOUT_SKILL_BULLET_DAMAGE,CP_LOADOUT_SKILL_BULLET_DAMAGE_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_bullet_damage,,,,,,,,
202,perk_skill_infinite_ammo_2,0,1,CP_LOADOUT_SKILL_BULLET_DAMAGE,CP_LOADOUT_SKILL_BULLET_DAMAGE_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_bullet_damage,,,,,,,,
203,perk_skill_infinite_ammo_3,0,2,CP_LOADOUT_SKILL_BULLET_DAMAGE,CP_LOADOUT_SKILL_BULLET_DAMAGE_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_bullet_damage,,,,,,,,
204,perk_skill_infinite_ammo_4,0,3,CP_LOADOUT_SKILL_BULLET_DAMAGE,CP_LOADOUT_SKILL_BULLET_DAMAGE_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_bullet_damage,,,,,,,,
205,perk_skill_invulnerable,0,0,CP_LOADOUT_SKILL_INVULNERABLE,CP_LOADOUT_SKILL_INVULNERABLE_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_SKILL,,perk_health,,1,,,,,,
206,perk_skill_invulnerable_1,0,1,CP_LOADOUT_SKILL_INVULNERABLE,CP_LOADOUT_SKILL_INVULNERABLE_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_health,,,,,,,,
207,perk_skill_invulnerable_2,0,1,CP_LOADOUT_SKILL_INVULNERABLE,CP_LOADOUT_SKILL_INVULNERABLE_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_health,,,,,,,,
208,perk_skill_invulnerable_3,0,2,CP_LOADOUT_SKILL_INVULNERABLE,CP_LOADOUT_SKILL_INVULNERABLE_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_health,,,,,,,,
209,perk_skill_invulnerable_4,0,3,CP_LOADOUT_SKILL_INVULNERABLE,CP_LOADOUT_SKILL_INVULNERABLE_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_health,,,,,,,,
210,perk_skill_stasis,0,0,CP_LOADOUT_SKILL_STASIS,CP_LOADOUT_SKILL_STASIS_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_SKILL,,perk_rigger,,,1,,,,,
211,perk_skill_stasis_1,0,1,CP_LOADOUT_SKILL_STASIS,CP_LOADOUT_SKILL_STASIS_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_rigger,,,,,,,,
212,perk_skill_stasis_2,0,1,CP_LOADOUT_SKILL_STASIS,CP_LOADOUT_SKILL_STASIS_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_rigger,,,,,,,,
213,perk_skill_stasis_3,0,2,CP_LOADOUT_SKILL_STASIS,CP_LOADOUT_SKILL_STASIS_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_rigger,,,,,,,,
214,perk_skill_stasis_4,0,3,CP_LOADOUT_SKILL_STASIS,CP_LOADOUT_SKILL_STASIS_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_rigger,,,,,,,,
215,perk_skill_heal_ring,0,1,CP_LOADOUT_SKILL_HEAL,CP_LOADOUT_SKILL_HEAL_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_SKILL,,perk_medic,,,,1,,,,
216,perk_skill_heal_ring_1,0,1,CP_LOADOUT_SKILL_HEAL,CP_LOADOUT_SKILL_HEAL_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_medic,,,,,,,,
217,perk_skill_heal_ring_2,0,1,CP_LOADOUT_SKILL_HEAL,CP_LOADOUT_SKILL_HEAL_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_medic,,,,,,,,
218,perk_skill_heal_ring_3,0,2,CP_LOADOUT_SKILL_HEAL,CP_LOADOUT_SKILL_HEAL_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_medic,,,,,,,,
219,perk_skill_heal_ring_4,0,3,CP_LOADOUT_SKILL_HEAL,CP_LOADOUT_SKILL_HEAL_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_medic,,,,,,,,
220,perk_skill_drone,0,0,CP_LOADOUT_SKILL_DRONE,CP_LOADOUT_SKILL_DRONE_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_SKILL,,perk_robotics,,,,,1,,,
221,perk_skill_drone_1,0,1,CP_LOADOUT_SKILL_DRONE,CP_LOADOUT_SKILL_DRONE_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_robotics,,,,,,,,
222,perk_skill_drone_2,0,1,CP_LOADOUT_SKILL_DRONE,CP_LOADOUT_SKILL_DRONE_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_robotics,,,,,,,,
223,perk_skill_drone_3,0,2,CP_LOADOUT_SKILL_DRONE,CP_LOADOUT_SKILL_DRONE_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_robotics,,,,,,,,
224,perk_skill_drone_4,0,3,CP_LOADOUT_SKILL_DRONE,CP_LOADOUT_SKILL_DRONE_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_robotics,,,,,,,,
225,perk_skill_mortar,0,0,CP_LOADOUT_SKILL_MORTAR,CP_LOADOUT_SKILL_MORTAR_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_SKILL,,perk_demolition,,,,,,1,,
226,perk_skill_mortar_1,0,1,CP_LOADOUT_SKILL_MORTAR,CP_LOADOUT_SKILL_MORTAR_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_demolition,,,,,,,,
227,perk_skill_mortar_2,0,1,CP_LOADOUT_SKILL_MORTAR,CP_LOADOUT_SKILL_MORTAR_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_demolition,,,,,,,,
228,perk_skill_mortar_3,0,2,CP_LOADOUT_SKILL_MORTAR,CP_LOADOUT_SKILL_MORTAR_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_demolition,,,,,,,,
229,perk_skill_mortar_4,0,3,CP_LOADOUT_SKILL_MORTAR,CP_LOADOUT_SKILL_MORTAR_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_demolition,,,,,,,,
230,perk_skill_electric_arc,0,0,CP_LOADOUT_SKILL_ARCING,CP_LOADOUT_SKILL_ARCING_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_SKILL,,perk_gunslinger,,,,,,,1,
231,perk_skill_electric_arc_1,0,1,CP_LOADOUT_SKILL_ARCING,CP_LOADOUT_SKILL_ARCING_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_gunslinger,,,,,,,,
232,perk_skill_electric_arc_2,0,1,CP_LOADOUT_SKILL_ARCING,CP_LOADOUT_SKILL_ARCING_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_gunslinger,,,,,,,,
233,perk_skill_electric_arc_3,0,2,CP_LOADOUT_SKILL_ARCING,CP_LOADOUT_SKILL_ARCING_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_gunslinger,,,,,,,,
234,perk_skill_electric_arc_4,0,3,CP_LOADOUT_SKILL_ARCING,CP_LOADOUT_SKILL_ARCING_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_gunslinger,,,,,,,,
235,perk_skill_pet,0,1,CP_LOADOUT_SKILL_PET,CP_LOADOUT_SKILL_PET_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_SKILL,,perk_hybrid,,,,,,,,1
236,perk_skill_pet_1,0,1,CP_LOADOUT_SKILL_PET,CP_LOADOUT_SKILL_PET_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_hybrid,,,,,,,,
237,perk_skill_pet_2,0,1,CP_LOADOUT_SKILL_PET,CP_LOADOUT_SKILL_PET_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_hybrid,,,,,,,,
238,perk_skill_pet_3,0,2,CP_LOADOUT_SKILL_PET,CP_LOADOUT_SKILL_PET_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_hybrid,,,,,,,,
239,perk_skill_pet_4,0,3,CP_LOADOUT_SKILL_PET,CP_LOADOUT_SKILL_PET_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_SKILL,,perk_hybrid,,,,,,,,
