a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19
12,ssgt2,290480,37597,RANK_SGT,RANK_SGT_FULL,icon_alien_rank_ssgt1,328077,ranked_up_13,,,,,,13,13,,RANK_SGT_FULL,,0
13,sfc1,328077,38813,RANK_SGT,RANK_SGT_FULL2,icon_alien_rank_sfc1,366890,ranked_up_14,,,,,,14,14,,RANK_SGT_FULL_N,,0
14,msgt1,366890,39951,RANK_SGT,RANK_SGT_FULL3,icon_alien_rank_msgt1,406841,ranked_up_15,,,,,,15,15,,RANK_SGT_FULL_N,,0
15,1stsgt1,406841,41019,RANK_SSGT,RANK_SSGT_FULL,icon_alien_rank_1stsgt1,447860,ranked_up_16,,,,,,16,16,,RANK_SSGT_FULL,,0
16,sgtmaj1,447861,42027,RANK_SSGT,RANK_SSGT_FULL2,icon_alien_rank_sgtmaj1,489888,ranked_up_17,,,,,,17,17,,RANK_SSGT_FULL_N,,0
17,cmdsgtmaj1,489888,42980,RANK_SSGT,RANK_SSGT_FULL3,icon_alien_rank_cmdsgtmaj1,532868,ranked_up_18,,,,,,18,18,,RANK_SSGT_FULL_N,,0
18,2ndlt1,532868,43884,RANK_SSGT,RANK_SSGT_FULL4,icon_alien_rank_2ndlt1,576752,ranked_up_19,,,,,,19,19,,RANK_SSGT_FULL_N,,0
19,2ndlt1,576752,44744,RANK_SFC,RANK_SFC_FULL,icon_alien_rank_2ndlt1,621496,ranked_up_20,,,,,,20,20,,RANK_SFC_FULL,,0
20,1stlt1,621496,45564,RANK_SFC,RANK_SFC_FULL2,icon_alien_rank_1stlt1,667060,ranked_up_21,,,,,,21,21,,RANK_SFC_FULL_N,,0
21,capt1,667060,46347,RANK_SFC,RANK_SFC_FULL3,icon_alien_rank_capt1,713407,ranked_up_22,,,,,,22,22,,RANK_SFC_FULL_N,,0
22,maj1,713407,47098,RANK_SFC,RANK_SFC_FULL4,icon_alien_rank_maj1,760505,ranked_up_23,,,,,,23,23,,RANK_SFC_FULL_N,,0
23,ltcol1,760505,47817,RANK_MSGT,RANK_MSGT_FULL,icon_alien_rank_ltcol1,808322,ranked_up_24,,,,,,24,24,,RANK_MSGT_FULL,,0
24,col1,808322,48508,RANK_MSGT,RANK_MSGT_FULL2,icon_alien_rank_col1,856830,ranked_up_25,,,,,,25,25,,RANK_MSGT_FULL_N,,0
25,bgen1,856831,49174,RANK_MSGT,RANK_MSGT_FULL3,icon_alien_rank_bgen1,906005,ranked_up_26,,,,,,26,26,,RANK_MSGT_FULL_N,,0
26,majgen1,906004,49815,RANK_MSGT,RANK_MSGT_FULL4,icon_alien_rank_majgen1,955819,ranked_up_27,,,,,,27,27,,RANK_MSGT_FULL_N,,0
27,ltgen1,955819,50433,RANK_1STSGT,RANK_1STSGT_FULL,icon_alien_rank_ltgen1,1006252,ranked_up_28,,,,,,28,28,,RANK_1STSGT_FULL,,0
28,gen1,1006252,51031,RANK_1STSGT,RANK_1STSGT_FULL2,icon_alien_rank_gen1,1057283,ranked_up_29,,,,,,29,29,,RANK_1STSGT_FULL_N,,0
29,comm1,1057283,51609,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1108892,ranked_up_30,,,,,,30,30,,RANK_1STSGT_FULL_N,,0
30,comm1,1108892,52168,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1161060,ranked_up_31,,,,,,31,31,,RANK_1STSGT_FULL_N,,0
31,comm1,1161060,52711,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1213771,ranked_up_32,,,,,,32,32,,RANK_PVT_FULL,,0
32,comm1,1213771,53237,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1267008,ranked_up_33,,,,,,33,33,,RANK_PVT_FULL_N,,0
33,comm1,1267008,53748,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1320756,ranked_up_34,,,,,,34,34,,RANK_PVT_FULL_N,,0
34,comm1,1320756,54244,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1375000,ranked_up_35,,,,,,35,35,,RANK_PFC_FULL,,0
35,comm1,1375000,54727,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1429727,ranked_up_36,,,,,,36,36,,RANK_PFC_FULL_N,,0
36,comm1,1429727,55197,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1484925,ranked_up_37,,,,,,37,37,,RANK_PFC_FULL_N,,0
37,comm1,1484925,55655,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1540580,ranked_up_38,,,,,,38,38,,RANK_SPC_FULL,,0
38,comm1,1540580,56101,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1596681,ranked_up_39,,,,,,39,39,,RANK_SPC_FULL_N,,0
39,comm1,1596681,56537,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1653218,ranked_up_40,,,,,,40,40,,RANK_SPC_FULL_N,,0
40,comm1,1653218,56961,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1710179,ranked_up_41,,,,,,41,41,,RANK_CPL_FULL,,0
41,comm1,1710179,57376,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1767556,ranked_up_42,,,,,,42,42,,RANK_CPL_FULL_N,,0
42,comm1,1767556,57781,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1825337,ranked_up_43,,,,,,43,43,,RANK_CPL_FULL_N,,0
43,comm1,1825337,58178,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1883515,ranked_up_44,,,,,,44,44,,RANK_SGT_FULL,,0
44,comm1,1883515,58565,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,1942079,ranked_up_45,,,,,,45,45,,RANK_SGT_FULL_N,,0
45,comm1,1942079,58944,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2001023,ranked_up_46,,,,,,46,46,,RANK_SGT_FULL_N,,0
46,comm1,2001023,59315,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2060338,ranked_up_47,,,,,,47,47,,RANK_SSGT_FULL,,0
47,comm1,2060338,59678,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2120017,ranked_up_48,,,,,,48,48,,RANK_SSGT_FULL_N,,0
48,comm1,2120017,60035,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2180052,ranked_up_49,,,,,,49,49,,RANK_SSGT_FULL_N,,0
49,comm1,2180052,60384,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2240435,ranked_up_50,,,,,,50,50,,RANK_SSGT_FULL_N,,0
50,comm1,2240435,60726,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2301161,ranked_up_51,,,,,,51,51,,RANK_SFC_FULL,,0
51,comm1,2301161,61062,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2362223,ranked_up_52,,,,,,52,52,,RANK_SFC_FULL_N,,0
52,comm1,2362223,61391,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2423614,ranked_up_53,,,,,,53,53,,RANK_SFC_FULL_N,,0
53,comm1,2423614,61715,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2485328,ranked_up_54,,,,,,54,54,,RANK_SFC_FULL_N,,0
54,comm1,2485328,62032,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2547360,ranked_up_55,,,,,,55,55,,RANK_MSGT_FULL,,0
55,comm1,2547360,62344,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2609705,ranked_up_56,,,,,,56,56,,RANK_MSGT_FULL_N,,0
56,comm1,2609705,62651,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2672355,ranked_up_57,,,,,,57,57,,RANK_MSGT_FULL_N,,0
57,comm1,2672355,62952,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2735307,ranked_up_58,,,,,,58,58,,RANK_MSGT_FULL_N,,0
58,comm1,2735307,63248,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2798555,ranked_up_59,,,,,,59,59,,RANK_1STSGT_FULL,,0
59,comm1,2798555,63540,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2862095,ranked_up_60,,,,,,60,60,,RANK_1STSGT_FULL_N,,0
60,comm1,2862095,63826,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2925921,ranked_up_61,,,,,,61,61,,RANK_1STSGT_FULL_N,,0
61,comm1,2925921,64108,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,2990029,ranked_up_62,,,,,,62,62,,RANK_1STSGT_FULL_N,,0
62,comm1,2990029,64386,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3054415,ranked_up_63,,,,,,63,63,,RANK_PVT_FULL,,0
63,comm1,3054415,64659,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3119074,ranked_up_64,,,,,,64,64,,RANK_PVT_FULL_N,,0
64,comm1,3119074,64928,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3184002,ranked_up_65,,,,,,65,65,,RANK_PVT_FULL_N,,0
65,comm1,3184002,65193,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3249195,ranked_up_66,,,,,,66,66,,RANK_PFC_FULL,,0
66,comm1,3249195,65454,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3314650,ranked_up_67,,,,,,67,67,,RANK_PFC_FULL_N,,0
67,comm1,3314650,65712,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3380361,ranked_up_68,,,,,,68,68,,RANK_PFC_FULL_N,,0
68,comm1,3380361,65965,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3446326,ranked_up_69,,,,,,69,69,,RANK_SPC_FULL,,0
69,comm1,3446326,66215,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3512542,ranked_up_70,,,,,,70,70,,RANK_SPC_FULL_N,,0
70,comm1,3512542,66462,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3579003,ranked_up_71,,,,,,71,71,,RANK_SPC_FULL_N,,0
71,comm1,3579003,66705,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3645708,ranked_up_72,,,,,,72,72,,RANK_CPL_FULL,,0
72,comm1,3645708,66945,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3712653,ranked_up_73,,,,,,73,73,,RANK_CPL_FULL_N,,0
73,comm1,3712653,67181,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3779834,ranked_up_74,,,,,,74,74,,RANK_CPL_FULL_N,,0
74,comm1,3779834,67415,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3847249,ranked_up_75,,,,,,75,75,,RANK_SGT_FULL,,0
75,comm1,3847249,67645,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3914894,ranked_up_76,,,,,,76,76,,RANK_SGT_FULL_N,,0
76,comm1,3914894,67873,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,3982767,ranked_up_77,,,,,,77,77,,RANK_SGT_FULL_N,,0
77,comm1,3982767,68097,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4050864,ranked_up_78,,,,,,78,78,,RANK_SSGT_FULL,,0
78,comm1,4050864,68319,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4119183,ranked_up_79,,,,,,79,79,,RANK_SSGT_FULL_N,,0
79,comm1,4119183,68538,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4187721,ranked_up_80,,,,,,80,80,,RANK_SSGT_FULL_N,,0
80,comm1,4187721,68754,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4256475,ranked_up_81,,,,,,81,81,,RANK_SSGT_FULL_N,,0
81,comm1,4256475,68968,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4325443,ranked_up_82,,,,,,82,82,,RANK_SFC_FULL,,0
82,comm1,4325443,69179,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4394621,ranked_up_83,,,,,,83,83,,RANK_SFC_FULL_N,,0
83,comm1,4394621,69387,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4464009,ranked_up_84,,,,,,84,84,,RANK_SFC_FULL_N,,0
84,comm1,4464009,69594,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4533603,ranked_up_85,,,,,,85,85,,RANK_SFC_FULL_N,,0
85,comm1,4533603,69797,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4603400,ranked_up_86,,,,,,86,86,,RANK_MSGT_FULL,,0
86,comm1,4603400,69999,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4673399,ranked_up_87,,,,,,87,87,,RANK_MSGT_FULL_N,,0
87,comm1,4673399,70198,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4743597,ranked_up_88,,,,,,88,88,,RANK_MSGT_FULL_N,,0
88,comm1,4743597,70395,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4813992,ranked_up_89,,,,,,89,89,,RANK_MSGT_FULL_N,,0
89,comm1,4813992,70590,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4884581,ranked_up_90,,,,,,90,90,,RANK_1STSGT_FULL,,0
90,comm1,4884581,70782,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,4955364,ranked_up_91,,,,,,91,91,,RANK_1STSGT_FULL_N,,0
91,comm1,4955364,70973,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5026336,ranked_up_92,,,,,,92,92,,RANK_1STSGT_FULL_N,,0
92,comm1,5026336,71161,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5097498,ranked_up_93,,,,,,93,93,,RANK_1STSGT_FULL_N,,0
93,comm1,5097498,71348,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5168846,ranked_up_94,,,,,,94,94,,RANK_PVT_FULL,,0
94,comm1,5168846,71532,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5240378,ranked_up_95,,,,,,95,95,,RANK_PVT_FULL_N,,0
95,comm1,5240378,71715,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5312093,ranked_up_96,,,,,,96,96,,RANK_PVT_FULL_N,,0
96,comm1,5312093,71896,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5383989,ranked_up_97,,,,,,97,97,,RANK_PFC_FULL,,0
97,comm1,5383989,72075,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5456064,ranked_up_98,,,,,,98,98,,RANK_PFC_FULL_N,,0
98,comm1,5456064,72252,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5528316,ranked_up_99,,,,,,99,99,,RANK_PFC_FULL_N,,0
99,comm1,5528316,72427,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5600743,ranked_up_100,,,,,,100,100,,RANK_SPC_FULL,,0
100,comm1,5600743,72601,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5673344,ranked_up_101,,,,,,101,101,,RANK_SPC_FULL_N,,0
101,comm1,5673344,72773,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5746117,ranked_up_102,,,,,,102,102,,RANK_SPC_FULL_N,,0
102,comm1,5746117,72943,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5819061,ranked_up_103,,,,,,103,103,,RANK_CPL_FULL,,0
103,comm1,5819061,73112,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5892173,ranked_up_104,,,,,,104,104,,RANK_CPL_FULL_N,,0
104,comm1,5892173,73279,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,5965452,ranked_up_105,,,,,,105,105,,RANK_CPL_FULL_N,,0
105,comm1,5965452,73445,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6038896,ranked_up_106,,,,,,106,106,,RANK_SGT_FULL,,0
106,comm1,6038896,73609,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6112505,ranked_up_107,,,,,,107,107,,RANK_SGT_FULL_N,,0
107,comm1,6112505,73771,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6186276,ranked_up_108,,,,,,108,108,,RANK_SGT_FULL_N,,0
108,comm1,6186276,73932,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6260208,ranked_up_109,,,,,,109,109,,RANK_SSGT_FULL,,0
109,comm1,6260208,74091,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6334299,ranked_up_110,,,,,,110,110,,RANK_SSGT_FULL_N,,0
110,comm1,6334299,74250,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6408549,ranked_up_111,,,,,,111,111,,RANK_SSGT_FULL_N,,0
111,comm1,6408549,74406,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6482955,ranked_up_112,,,,,,112,112,,RANK_SSGT_FULL_N,,0
112,comm1,6482955,74561,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6557516,ranked_up_113,,,,,,113,113,,RANK_SFC_FULL,,0
113,comm1,6557516,74715,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6632232,ranked_up_114,,,,,,114,114,,RANK_SFC_FULL_N,,0
114,comm1,6632232,74868,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6707100,ranked_up_115,,,,,,115,115,,RANK_SFC_FULL_N,,0
115,comm1,6707100,75019,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6782119,ranked_up_116,,,,,,116,116,,RANK_SFC_FULL_N,,0
116,comm1,6782119,75169,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6857289,ranked_up_117,,,,,,117,117,,RANK_MSGT_FULL,,0
117,comm1,6857289,75318,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,6932607,ranked_up_118,,,,,,118,118,,RANK_MSGT_FULL_N,,0
118,comm1,6932607,75466,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7008072,ranked_up_119,,,,,,119,119,,RANK_MSGT_FULL_N,,0
119,comm1,7008072,75612,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7083684,ranked_up_120,,,,,,120,120,,RANK_MSGT_FULL_N,,0
120,comm1,7083684,75757,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7159441,ranked_up_121,,,,,,121,121,,RANK_1STSGT_FULL,,0
121,comm1,7159441,75901,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7235342,ranked_up_122,,,,,,122,122,,RANK_1STSGT_FULL_N,,0
122,comm1,7235342,76044,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7311385,ranked_up_123,,,,,,123,123,,RANK_1STSGT_FULL_N,,0
123,comm1,7311385,76185,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7387571,ranked_up_124,,,,,,124,124,,RANK_1STSGT_FULL_N,,0
124,comm1,7387571,76326,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7463896,ranked_up_125,,,,,,125,125,,RANK_PVT_FULL,,0
125,comm1,7463896,76465,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7540361,ranked_up_126,,,,,,126,126,,RANK_PVT_FULL_N,,0
126,comm1,7540361,76603,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7616964,ranked_up_127,,,,,,127,127,,RANK_PVT_FULL_N,,0
127,comm1,7616964,76740,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7693704,ranked_up_128,,,,,,128,128,,RANK_PFC_FULL,,0
128,comm1,7693704,76876,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7770581,ranked_up_129,,,,,,129,129,,RANK_PFC_FULL_N,,0
129,comm1,7770581,77011,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7847592,ranked_up_130,,,,,,130,130,,RANK_PFC_FULL_N,,0
130,comm1,7847592,77146,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,7924738,ranked_up_131,,,,,,131,131,,RANK_SPC_FULL,,0
131,comm1,7924738,77279,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8002016,ranked_up_132,,,,,,132,132,,RANK_SPC_FULL_N,,0
132,comm1,8002016,77411,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8079427,ranked_up_133,,,,,,133,133,,RANK_SPC_FULL_N,,0
133,comm1,8079427,77542,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8156969,ranked_up_134,,,,,,134,134,,RANK_CPL_FULL,,0
134,comm1,8156969,77672,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8234640,ranked_up_135,,,,,,135,135,,RANK_CPL_FULL_N,,0
135,comm1,8234640,77801,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8312441,ranked_up_136,,,,,,136,136,,RANK_CPL_FULL_N,,0
136,comm1,8312441,77929,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8390370,ranked_up_137,,,,,,137,137,,RANK_SGT_FULL,,0
137,comm1,8390370,78056,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8468427,ranked_up_138,,,,,,138,138,,RANK_SGT_FULL_N,,0
138,comm1,8468427,78183,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8546609,ranked_up_139,,,,,,139,139,,RANK_SGT_FULL_N,,0
139,comm1,8546609,78308,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8624917,ranked_up_140,,,,,,140,140,,RANK_SSGT_FULL,,0
140,comm1,8624917,78433,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8703350,ranked_up_141,,,,,,141,141,,RANK_SSGT_FULL_N,,0
141,comm1,8703350,78556,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8781906,ranked_up_142,,,,,,142,142,,RANK_SSGT_FULL_N,,0
142,comm1,8781906,78679,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8860586,ranked_up_143,,,,,,143,143,,RANK_SSGT_FULL_N,,0
143,comm1,8860586,78801,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,8939387,ranked_up_144,,,,,,144,144,,RANK_SFC_FULL,,0
144,comm1,8939387,78922,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9018309,ranked_up_145,,,,,,145,145,,RANK_SFC_FULL_N,,0
145,comm1,9018309,79043,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9097352,ranked_up_146,,,,,,146,146,,RANK_SFC_FULL_N,,0
146,comm1,9097352,79162,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9176514,ranked_up_147,,,,,,147,147,,RANK_SFC_FULL_N,,0
147,comm1,9176514,79281,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9255795,ranked_up_148,,,,,,148,148,,RANK_MSGT_FULL,,0
148,comm1,9255795,79399,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9335193,ranked_up_149,,,,,,149,149,,RANK_MSGT_FULL_N,,0
149,comm1,9335193,79516,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9414709,ranked_up_150,,,,,,150,150,,RANK_MSGT_FULL_N,,0
150,comm1,9414709,79632,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9494341,ranked_up_151,,,,,,151,151,,RANK_MSGT_FULL_N,,0
151,comm1,9494341,79748,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9574089,ranked_up_152,,,,,,152,152,,RANK_1STSGT_FULL,,0
152,comm1,9574089,79863,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9653952,ranked_up_153,,,,,,153,153,,RANK_1STSGT_FULL_N,,0
153,comm1,9653952,79977,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9733928,ranked_up_154,,,,,,154,154,,RANK_1STSGT_FULL_N,,0
