a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,t20
48,,pap,,fmpap1,pap1,,,,,,,,,,,,,,,
49,,pap,,fmpap2,pap2,,,,,,,,,,,,,,,
50,,pap,,freezepap1,pap1,,,,,,,,,,,,,,,
51,,pap,,freezepap2,pap2,,,,,,,,,,,,,,,
52,,pap,,g18pap1,pap1,,,,,,,,,,,,,,,
53,,pap,,g18pap2,pap2,,,,,,,,,,,,,,,
54,,pap,,glpap1,pap1,,,,,,,,,,,,,,,
55,,pap,,glpap2,pap2,,,,,,,,,,,,,,,
56,,pap,,hcpap1,pap1,,,,,,,,,,,,,,,
57,,pap,,hcpap2,pap2,,,,,,,,,,,,,,,
58,,pap,,kbspap1,pap1,,,,,,,,,,,,,,,
59,,pap,,kbspap2,pap2,,,,,,,,,,,,,,,
60,,pap,,lmg03pap1,pap1,,,,,,,,,,,,,,,
61,,pap,,lmg03pap2,pap2,,,,,,,,,,,,,,,
62,,pap,,lockonpap1,pap1,,,,,,,,,,,,,,,
63,,pap,,lockonpap2,pap2,,,,,,,,,,,,,,,
64,,pap,,m1cpap1,pap1,,,,,,,,,,,,,,,
65,,pap,,m1cpap2,pap2,,,,,,,,,,,,,,,
66,,pap,,m1pap1,pap1,,,,,,,,,,,,,,,
67,,pap,,m1pap2,pap2,,,,,,,,,,,,,,,
68,,pap,,m4pap1,pap1,,,,,,,,,,,,,,,
69,,pap,,m4pap2,pap2,,,,,,,,,,,,,,,
70,,pap,,m8pap1,pap1,,,,,,,,,,,,,,,
71,,pap,,m8pap2,pap2,,,,,,,,,,,,,,,
72,,pap,,mapap1,pap1,,,,,,,,,,,,,,,
73,,pap,,mapap2,pap2,,,,,,,,,,,,,,,
74,,pap,,maulerpap1,pap1,,,,,,,,,,,,,,,
75,,pap,,maulerpap2,pap2,,,,,,,,,,,,,,,
76,,pap,,nrgpap1,pap1,,,,,,,,,,,,,,,
77,,pap,,nrgpap2,pap2,,,,,,,,,,,,,,,
78,,pap,,nxpap1,pap1,,,,,,,,,,,,,,,
79,,pap,,nxpap2,pap2,,,,,,,,,,,,,,,
80,,pap,,pap1,pap1,,,,,,,,,,,,,,,
81,,pap,,pap2,pap2,,,,,,,,,,,,,,,
82,,pap,,revolverpap1,pap1,,,,,,,,,,,,,,,
83,,pap,,revolverpap2,pap2,,,,,,,,,,,,,,,
84,,pap,,ripperpap1,pap1,,,,,,,,,,,,,,,
85,,pap,,ripperpap2,pap2,,,,,,,,,,,,,,,
86,,pap,,sdfarpap1,pap1,,,,,,,,,,,,,,,
87,,pap,,sdfarpap2,pap2,,,,,,,,,,,,,,,
88,,pap,,sdflmgpap1,pap1,,,,,,,,,,,,,,,
89,,pap,,sdflmgpap2,pap2,,,,,,,,,,,,,,,
90,,pap,,sdfspap1,pap1,,,,,,,,,,,,,,,
91,,pap,,sdfspap2,pap2,,,,,,,,,,,,,,,
92,,pap,,sdpap1,pap1,,,,,,,,,,,,,,,
93,,pap,,sdpap2,pap2,,,,,,,,,,,,,,,
94,,pap,,shredderpap1,pap1,,,,,,,,,,,,,,,
95,,pap,,shredderpap2,pap2,,,,,,,,,,,,,,,
96,,pap,,sonicpap1,pap1,,,,,,,,,,,,,,,
97,,pap,,sonicpap2,pap2,,,,,,,,,,,,,,,
98,,pap,,spascpap1,pap1,,,,,,,,,,,,,,,
99,,pap,,spascpap2,pap2,,,,,,,,,,,,,,,
100,,pap,,spaspap1,pap1,,,,,,,,,,,,,,,
101,,pap,,spaspap2,pap2,,,,,,,,,,,,,,,
102,,pap,,umpcpap1,pap1,,,,,,,,,,,,,,,
103,,pap,,umpcpap2,pap2,,,,,,,,,,,,,,,
104,,pap,,umppap1,pap1,,,,,,,,,,,,,,,
105,,pap,,umppap2,pap2,,,,,,,,,,,,,,,
106,,pap3,,lmgpap3,pap3,,,,,,,,,,,,,,,
107,,perk,,doubletap,rof,,,,,,,,,,,,,,,
108,,rail,,kbsscope_zm,scope,,,,,,,,,,,,,,,
109,,rail,,kbslscope_zm,scope,,,,,,,,,,,,,,,
110,,rail,,kbsrscope_zm,scope,,,,,,,,,,,,,,,
111,,rail,,m8lchargescope_zm,scope,,,,,,,,,,,,,,,
112,,rail,,m8lscope_zm,scope,,,,,,,,,,,,,,,
113,,rail,,m8rscope_zm,scope,,,,,,,,,,,,,,,
114,,rail,,m8scope_zm,scope,,,,,,,,,,,,,,,
115,,rail,,ripperlscope_zm,scope,,,,,,,,,,,,,,,
116,,rail,,ripperrscope_zm,scope,,,,,,,,,,,,,,,
117,,rail,,ripperscope_zm,scope,,,,,,,,,,,,,,,
118,,undermount,,akimbofmg_zm,akimbo,,,,,,,,,,,,,,,
119,,undermount,,mod_akimboshotgun_zm,akimbo,,,,,,,,,,,,,,,
120,,undermount,,arripper_zm,arripper,,,,,,,,,,,,,,,
121,,undermount,,arm8_zm,arm8,,,,,,,,,,,,,,,
122,,undermount,,shotgunerad_zm,shotgun,,,,,,,,,,,,,,,
123,,unique,,xmagsefmg_zm,xmagse,,,,,,,,,,,,,,,
124,,unique,,xmagsenrg_zm,xmagse,,,,,,,,,,,,,,,
125,,unique,,xmagsepstl_zm,xmagse,,,,,,,,,,,,,,,
126,,pap,,cheytaccpap1,pap1,,,,,,,,,,,,,,,
127,,pap,,cheytaccpap2,pap2,,,,,,,,,,,,,,,
128,,pap,,arcpap1,pap1,,,,,,,,,,,,,,,
129,,pap,,arcpap2,pap2,,,,,,,,,,,,,,,
130,,pap,,g18cpap1,pap1,,,,,,,,,,,,,,,
131,,pap,,g18cpap2,pap2,,,,,,,,,,,,,,,
132,,unique,,highcal_zm,highcal,,,,,,,,,,,,,,,
133,,unique,,highcalm1c_zm,highcal,,,,,,,,,,,,,,,
134,,unique,,highcale_zm,highcal,,,,,,,,,,,,,,,
135,,unique,,highcalesdfar_zm,highcal,,,,,,,,,,,,,,,
136,,barrel,,arkpink_lmg,arkpink,,,,,,,,,,,,,,,
137,,undermount,,akimbog18_zm,akimbo,,,,,,,,,,,,,,,
138,,undermount,,akimbog18c_zm,akimbo,,,,,,,,,,,,,,,
139,,undermount,,akimbonrg_zm,akimbo,,,,,,,,,,,,,,,
140,,scope,,m8scope_zm_camo,scope,,,,,,,,,,,,,,,
141,,scope,,m8rscope_zm_camo,scope,,,,,,,,,,,,,,,
142,,scope,,m8lscope_zm_camo,scope,,,,,,,,,,,,,,,
143,,scope,,m8lchargescope_zm_camo,scope,,,,,,,,,,,,,,,
144,,scope,,kbsscope_zm_camo,scope,,,,,,,,,,,,,,,
145,,scope,,kbsrscope_zm_camo,scope,,,,,,,,,,,,,,,
146,,scope,,kbslscope_zm_camo,scope,,,,,,,,,,,,,,,
147,,pap,,akesinglepap1,pap1,,,,,,,,,,,,,,,
148,,pap,,akesinglepap2,pap2,,,,,,,,,,,,,,,
149,,pap,,revolversinglepap1,pap1,,,,,,,,,,,,,,,
150,,pap,,revolversinglepap2,pap2,,,,,,,,,,,,,,,
151,,pap,,maulerdmgpap1,pap1,,,,,,,,,,,,,,,
152,,pap,,maulerdmgpap2,pap2,,,,,,,,,,,,,,,
153,,pap,,nrgchargepap1,pap1,,,,,,,,,,,,,,,
154,,pap,,nrgchargepap2,pap2,,,,,,,,,,,,,,,
155,,pap,,spasslugpap1,pap1,,,,,,,,,,,,,,,
156,,pap,,spasslugpap2,pap2,,,,,,,,,,,,,,,
157,,pap,,sdflmgammopap1,pap1,,,,,,,,,,,,,,,
158,,pap,,sdflmgammopap2,pap2,,,,,,,,,,,,,,,
159,,pap,,udmpap1,pap1,,,,,,,,,,,,,,,
160,,pap,,udmpap2,pap2,,,,,,,,,,,,,,,
161,,unique,,projectileImpale,impale,,,,,,,,,,,,,,,
162,,pap,,rvnpap1,pap1,,,,,,,,,,,,,,,
163,,pap,,rvnpap2,pap2,,,,,,,,,,,,,,,
164,,pap,,crdbpap1,pap1,,,,,,,,,,,,,,,
165,,pap,,crdbpap2,pap2,,,,,,,,,,,,,,,
166,,pap,,vrpap1,pap1,,,,,,,,,,,,,,,
167,,pap,,vrpap2,pap2,,,,,,,,,,,,,,,
168,,pap,,udmlpap1,pap1,,,,,,,,,,,,,,,
169,,pap,,udmlpap2,pap2,,,,,,,,,,,,,,,
170,,pap,,minilmgpap1,pap1,,,,,,,,,,,,,,,
171,,pap,,minilmgpap2,pap2,,,,,,,,,,,,,,,
172,,pap,,minilmgakimbopap1,pap1,,,,,,,,,,,,,,,
173,,pap,,minilmgakimbopap2,pap2,,,,,,,,,,,,,,,
174,,pap,,mp28pap1,pap1,,,,,,,,,,,,,,,
175,,pap,,mp28pap2,pap2,,,,,,,,,,,,,,,
176,,unique,,cutiegrip,grip,,,,,,,,,,,,,,,
177,,unique,,cutieplunger,plunger,,,,,,,,,,,,,,,
178,,unique,,cutiecrank,crank,,,,,,,,,,,,,,,
179,,pap,,longshotpap1,pap1,,,,,,,,,,,,,,,
180,,pap,,longshotpap2,pap2,,,,,,,,,,,,,,,
181,,pap,,ba50calpap1,pap1,,,,,,,,,,,,,,,
182,,pap,,ba50calpap2,pap2,,,,,,,,,,,,,,,
183,,pap,,ba50cal_l_pap1,pap1,,,,,,,,,,,,,,,
184,,pap,,ba50cal_l_pap2,pap2,,,,,,,,,,,,,,,
185,,pap,,mod2187pap1,pap1,,,,,,,,,,,,,,,
186,,pap,,mod2187pap2,pap2,,,,,,,,,,,,,,,
187,,rail,,longshotlscope_zm,scope,,,,,,,,,,,,,,,
188,,undermount,,shotgunlongshot_zm,shotgunlongshot,,,,,,,,,,,,,,,
189,,pap,,gausspap1,pap1,,,,,,,,,,,,,,,
190,,pap,,guasspap2,pap2,,,,,,,,,,,,,,,
191,,pap,,magpap1,pap1,,,,,,,,,,,,,,,
192,,pap,,magpap2,pap2,,,,,,,,,,,,,,,
193,,pap,,unsalmgpap1,pap1,,,,,,,,,,,,,,,
194,,pap,,unsalmgpap2,pap2,,,,,,,,,,,,,,,
195,,pap,,tacburstpap1,pap1,,,,,,,,,,,,,,,
196,,pap,,tacburstpap2,pap2,,,,,,,,,,,,,,,
197,,unique,,xmagselmg_zm,xmagse,,,,,,,,,,,,,,,
198,,undermount,,akimbonrg_zm,akimbo,,,,,,,,,,,,,,,
199,,undermount,,glmp28_smoke,gl,,,,,,,,,,,,,,,
