10,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogm8_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,-7,0,-9,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
11,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogcheytac_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,-7,0,-9,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
12,,rail,ATTACHMENTS_ACOG_SCOPE,acogm4_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,8,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
13,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogm1_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,-7,0,-9,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
14,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acoglmgnoalt_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,8,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
15,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflex,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
16,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflex_camo,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
17,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexake_camo,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
18,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexarclassic_camo,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
19,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexfmg_camo,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
20,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexshotgun_camo,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
21,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexspasc_camo,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
22,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexsmg_camo,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
23,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexlmg_camo,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
24,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexpstl_camo,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
25,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexnrg_camo,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_reflex
26,,rail,ATTACHMENTS_PHASE_SIGHT,phase,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,5,0,5,0,0,regular|hardened|veteran,attachment_icon_showcase_trojan
27,,rail,ATTACHMENTS_PHASE_SIGHT,phase_camo,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,5,0,5,0,0,regular|hardened|veteran,attachment_icon_showcase_trojan
28,,rail,ATTACHMENTS_PHASE_SIGHT,phaseake_camo,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,5,0,5,0,0,regular|hardened|veteran,attachment_icon_showcase_trojan
29,,rail,ATTACHMENTS_PHASE_SIGHT,phasefmg_camo,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,5,0,5,0,0,regular|hardened|veteran,attachment_icon_showcase_trojan
30,,rail,ATTACHMENTS_PHASE_SIGHT,phaseshotgun_camo,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,5,0,5,0,0,regular|hardened|veteran,attachment_icon_showcase_trojan
31,,rail,ATTACHMENTS_PHASE_SIGHT,phasespasc_camo,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,5,0,5,0,0,regular|hardened|veteran,attachment_icon_showcase_trojan
32,,rail,ATTACHMENTS_PHASE_SIGHT,phasesmg_camo,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,5,0,5,0,0,regular|hardened|veteran,attachment_icon_showcase_trojan
33,,rail,ATTACHMENTS_PHASE_SIGHT,phaselmg_camo,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,5,0,5,0,0,regular|hardened|veteran,attachment_icon_showcase_trojan
34,,rail,ATTACHMENTS_PHASE_SIGHT,phasepstl_camo,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,5,0,5,0,0,regular|hardened|veteran,attachment_icon_showcase_trojan
35,,rail,ATTACHMENTS_PHASE_SIGHT,phasenrg_camo,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,5,0,5,0,0,regular|hardened|veteran,attachment_icon_showcase_trojan
36,,rail,ATTACHMENTS_THERMAL,thermal,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,7,0,6,0,0,hardened|veteran,attachment_icon_showcase_thermal
37,,rail,ATTACHMENTS_THERMAL,thermal_camo,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,7,0,6,0,0,hardened|veteran,attachment_icon_showcase_thermal
38,,rail,ATTACHMENTS_THERMAL,thermalake_camo,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,7,0,6,0,0,hardened|veteran,attachment_icon_showcase_thermal
39,,rail,ATTACHMENTS_THERMAL,thermalfmg_camo,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,7,0,6,0,0,hardened|veteran,attachment_icon_showcase_thermal
40,,rail,ATTACHMENTS_THERMAL,thermalsmg_camo,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,7,0,6,0,0,hardened|veteran,attachment_icon_showcase_thermal
41,,rail,ATTACHMENTS_THERMAL,thermallmg_camo,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,7,0,6,0,0,hardened|veteran,attachment_icon_showcase_thermal
42,,rail,ATTACHMENTS_THERMAL,thermalcheytac_camo,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,3,0,-11,0,0,hardened|veteran,attachment_icon_showcase_thermal
43,,rail,ATTACHMENTS_THERMAL,thermalkbs_camo,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,3,0,-11,0,0,hardened|veteran,attachment_icon_showcase_thermal
44,,rail,ATTACHMENTS_THERMAL,thermalm8_camo,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,3,0,-11,0,0,hardened|veteran,attachment_icon_showcase_thermal
45,,rail,ATTACHMENTS_THERMAL,thermalm4_camo,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,7,0,6,0,0,hardened|veteran,attachment_icon_showcase_thermal
46,,rail,ATTACHMENTS_THERMAL,thermalm1_camo,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,PERKS_THERMAL,,,FALSE,,,3,0,-11,0,0,hardened|veteran,attachment_icon_showcase_thermal
47,,rail,ATTACHMENTS_HYBRID,hybrid,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,10,0,0,hardened|veteran,attachment_icon_showcase_vmh
48,,rail,ATTACHMENTS_HYBRID,hybrid_camo,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,10,0,0,hardened|veteran,attachment_icon_showcase_vmh
49,,rail,ATTACHMENTS_HYBRID,hybridake_camo,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,10,0,0,hardened|veteran,attachment_icon_showcase_vmh
50,,rail,ATTACHMENTS_HYBRID,hybridarnoalt_camo,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_HYBRID_NO_ALT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,10,0,0,hardened|veteran,attachment_icon_showcase_vmh
51,,rail,ATTACHMENTS_HYBRID,hybridsmg_camo,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,10,0,0,hardened|veteran,attachment_icon_showcase_vmh
52,,rail,ATTACHMENTS_HYBRID,hybridsmgnoalt_camo,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_HYBRID_NO_ALT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,10,0,0,hardened|veteran,attachment_icon_showcase_vmh
53,,rail,ATTACHMENTS_HYBRID,hybridlmg_camo,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,10,0,0,hardened|veteran,attachment_icon_showcase_vmh
54,,rail,ATTACHMENTS_HYBRID,hybridsdfar_camo,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,10,0,0,hardened|veteran,attachment_icon_showcase_vmh
55,,rail,ATTACHMENTS_ELO,elo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
56,,rail,ATTACHMENTS_ELO,elo_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
57,,rail,ATTACHMENTS_ELO,eloake_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
58,,rail,ATTACHMENTS_ELO,elofmg_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
59,,rail,ATTACHMENTS_ELO,elodmr_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
60,,rail,ATTACHMENTS_ELO,elolmg_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
61,,rail,ATTACHMENTS_ELO,elopstl_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
62,,rail,ATTACHMENTS_ELO,elonrg_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
63,,rail,ATTACHMENTS_ELO,eloshtgn_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
64,,rail,ATTACHMENTS_ELO,elospasc_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
65,,rail,ATTACHMENTS_ELO,elosmg_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,3,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
66,,rail,ATTACHMENTS_ELO,elocheytac_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,-10,0,-14,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
67,,rail,ATTACHMENTS_ELO,elokbs_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,-10,0,-14,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
68,,rail,ATTACHMENTS_ELO,elom8_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,-10,0,-14,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
69,,rail,ATTACHMENTS_ELO,elom1_camo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,-10,0,-14,0,0,regular|hardened|veteran,attachment_icon_showcase_elosight
70,,rail,ATTACHMENTS_VZSCOPE,vzscope,vzscope,attachment_icon_slot_variablescope,ATTACHMENTS_DESC_VARIABLE_ZOOM_SCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,7,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_variablescope
71,,rail,ATTACHMENTS_VZSCOPE,kbsvzscope,vzscope,attachment_icon_slot_variablescope,ATTACHMENTS_DESC_VARIABLE_ZOOM_SCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,7,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_variablescope
72,,rail,ATTACHMENTS_OSCOPE,oscope,oscope,attachment_icon_slot_tracklechip,ATTACHMENTS_DESC_OSCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,8,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_tracklechip
73,,rail,ATTACHMENTS_OSCOPE,kbsoscope,oscope,attachment_icon_slot_tracklechip,ATTACHMENTS_DESC_OSCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,8,0,0,0,0,regular|hardened|veteran,attachment_icon_showcase_tracklechip
74,,rail,ATTACHMENTS_SMART,smart,smart,attachment_icon_slot_smartshot,ATTACHMENTS_DESC_SMART,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,10,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_smartshot
75,,rail,ATTACHMENTS_SMART,smart_camo,smart,attachment_icon_slot_smartshot,ATTACHMENTS_DESC_SMART,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,10,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_smartshot
76,,rail,ATTACHMENTS_SMART,smart_mp_camo,smart,attachment_icon_slot_smartshot,ATTACHMENTS_DESC_SMART,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,10,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_smartshot
77,,rail,ATTACHMENTS_SMART,smartdev_camo,smart,attachment_icon_slot_smartshot,ATTACHMENTS_DESC_SMART,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,10,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_smartshot
78,,rail,ATTACHMENTS_SMART,smartsdf_camo,smart,attachment_icon_slot_smartshot,ATTACHMENTS_DESC_SMART,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,10,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_smartshot
79,,rail,ATTACHMENTS_SMART,smartsonic_camo,smart,attachment_icon_slot_smartshot,ATTACHMENTS_DESC_SMART,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,10,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_smartshot
80,,rail,ATTACHMENTS_SMART,smartspas_camo,smart,attachment_icon_slot_smartshot,ATTACHMENTS_DESC_SMART,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,10,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_smartshot
81,,rail,ATTACHMENTS_SMART,smartspasc_camo,smart,attachment_icon_slot_smartshot,ATTACHMENTS_DESC_SMART,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,10,0,3,0,0,regular|hardened|veteran,attachment_icon_showcase_smartshot
82,,barrel,ATTACHMENTS_SILENCER,silencer,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressor
83,,barrel,ATTACHMENTS_SILENCER,silencer_camo,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressor
84,,barrel,ATTACHMENTS_SILENCER,silencersmg_camo,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressor
85,,barrel,ATTACHMENTS_SILENCER,silencerpstl_camo,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressor
86,,barrel,ATTACHMENTS_SILENCER,silencerpstlrnd_camo,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressor
87,,barrel,ATTACHMENTS_SILENCER,silencershtgn_camo,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressor
88,,barrel,ATTACHMENTS_SILENCER,silencerdmr_camo,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER_SONIC,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressor
89,,barrel,ATTACHMENTS_SILENCER,silencersnpr_camo,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,-3,0,0,0,hardened|veteran,attachment_icon_showcase_supressor
90,,barrel,ATTACHMENTS_SILENCER,silencersniperhide_camo,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,-3,0,0,0,hardened|veteran,attachment_icon_showcase_supressor
91,,barrel,ATTACHMENTS_SILENCER,silencermaulerhide_camo,silencer,attachment_icon_slot_supressor,ATTACHMENTS_DESC_SILENCER,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,-3,0,0,0,hardened|veteran,attachment_icon_showcase_supressor
92,,barrel,ATTACHMENTS_SILENCER,silencere_camo,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressore
93,,barrel,ATTACHMENTS_SILENCER,silencerefmg_camo,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressore
94,,barrel,ATTACHMENTS_SILENCER,silencersmge_camo,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressore
95,,barrel,ATTACHMENTS_SILENCER,silencerpstle_camo,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressore
96,,barrel,ATTACHMENTS_SILENCER,silencershtgne_camo,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressore
97,,barrel,ATTACHMENTS_SILENCER,silencersnpre_camo,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_ENERGY,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,-3,0,0,0,hardened|veteran,attachment_icon_showcase_supressore
98,,barrel,ATTACHMENTS_SILENCER,silencershtgns_camo,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_SONIC,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressore
99,,barrel,ATTACHMENTS_SILENCER,silencersonicr_camo,silencer,attachment_icon_slot_supressore,ATTACHMENTS_DESC_SILENCER_SONIC,PERKS_COMPLETE_THE_MARKSMAN,,,FALSE,,,3,0,-5,0,0,hardened|veteran,attachment_icon_showcase_supressore
