a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16
23,,264800,20800,RANK_SGTMAJ,RANK_SGTMAJ_FULL2,,285600,,,,,,24,24,ranked_up_8,RANK_SGTMAJ_FULL_N
24,,285600,21600,RANK_SGTMAJ,RANK_SGTMAJ_FULL3,,307200,,,,,,25,25,ranked_up_9,RANK_SGTMAJ_FULL_N
25,,307200,22400,RANK_CSM,RANK_CSM_FULL,,329600,,,,,,26,26,ranked_up_9,RANK_CSM_FULL
26,,329600,23200,RANK_CSM,RANK_CSM_FULL2,,352800,,,,,,27,27,ranked_up_9,RANK_CSM_FULL_N
27,,352800,24000,RANK_CSM,RANK_CSM_FULL3,,376800,,,,,,28,28,ranked_up_10,RANK_CSM_FULL_N
28,,376800,24800,RANK_2NDLT,RANK_2NDLT_FULL,,401600,,,,,,29,29,ranked_up_10,RANK_2NDLT_FULL
29,,401600,25600,RANK_2NDLT,RANK_2NDLT_FULL2,,427200,,,,,,30,30,ranked_up_11,RANK_2NDLT_FULL_N
30,,427200,26800,RANK_2NDLT,RANK_2NDLT_FULL3,,454000,,,,,,31,31,ranked_up_11,RANK_2NDLT_FULL_N
31,,454000,28000,RANK_1STLT,RANK_1STLT_FULL,,482000,,,,,,32,32,ranked_up_12,RANK_1STLT_FULL
32,,482000,29200,RANK_1STLT,RANK_1STLT_FULL2,,511200,,,,,,33,33,ranked_up_12,RANK_1STLT_FULL_N
33,,511200,30400,RANK_1STLT,RANK_1STLT_FULL3,,541600,,,,,,34,34,ranked_up_13,RANK_1STLT_FULL_N
34,,541600,31600,RANK_CAPT,RANK_CAPT_FULL,,573200,,,,,,35,35,ranked_up_13,RANK_CAPT_FULL
35,,573200,32800,RANK_CAPT,RANK_CAPT_FULL2,,606000,,,,,,36,36,ranked_up_14,RANK_CAPT_FULL_N
36,,606000,34000,RANK_CAPT,RANK_CAPT_FULL3,,640000,,,,,,37,37,ranked_up_14,RANK_CAPT_FULL_N
37,,640000,35200,RANK_MAJ,RANK_MAJ_FULL,,675200,,,,,,38,38,ranked_up_15,RANK_MAJ_FULL
38,,675200,36400,RANK_MAJ,RANK_MAJ_FULL2,,711600,,,,,,39,39,ranked_up_15,RANK_MAJ_FULL_N
39,,711600,37600,RANK_MAJ,RANK_MAJ_FULL3,,749200,,,,,,40,40,ranked_up_16,RANK_MAJ_FULL_N
40,,749200,38800,RANK_LTCOL,RANK_LTCOL_FULL,,788000,,,,,,41,41,ranked_up_16,RANK_LTCOL_FULL
41,,788000,40000,RANK_LTCOL,RANK_LTCOL_FULL2,,828000,,,,,,42,42,ranked_up_17,RANK_LTCOL_FULL_N
42,,828000,41200,RANK_LTCOL,RANK_LTCOL_FULL3,,869200,,,,,,43,43,ranked_up_17,RANK_LTCOL_FULL_N
43,,869200,42400,RANK_COL,RANK_COL_FULL,,911600,,,,,,44,44,ranked_up_18,RANK_COL_FULL
44,,911600,43600,RANK_COL,RANK_COL_FULL2,,955200,,,,,,45,45,ranked_up_18,RANK_COL_FULL_N
45,,955200,44800,RANK_COL,RANK_COL_FULL3,,1000000,,,,,,46,46,ranked_up_19,RANK_COL_FULL_N
46,,1000000,46000,RANK_BGEN,RANK_BGEN_FULL,,1046000,,,,,,47,47,ranked_up_19,RANK_BGEN_FULL
47,,1046000,47200,RANK_BGEN,RANK_BGEN_FULL2,,1093200,,,,,,48,48,ranked_up_20,RANK_BGEN_FULL_N
48,,1093200,48400,RANK_BGEN,RANK_BGEN_FULL3,,1141600,,,,,,49,49,ranked_up_20,RANK_BGEN_FULL_N
49,,1141600,49600,RANK_MAJGEN,RANK_MAJGEN_FULL,,1191200,,,,,,50,50,ranked_up_21,RANK_MAJGEN_FULL
50,,1191200,50800,RANK_MAJGEN,RANK_MAJGEN_FULL2,,1242000,,,,,,51,51,ranked_up_21,RANK_MAJGEN_FULL_N
51,,1242000,52000,RANK_MAJGEN,RANK_MAJGEN_FULL3,,1294000,,,,,,52,52,ranked_up_22,RANK_MAJGEN_FULL_N
52,,1294000,53200,RANK_LTGEN,RANK_LTGEN_FULL,,1347200,,,,,,53,53,ranked_up_22,RANK_LTGEN_FULL
53,,1347200,54400,RANK_LTGEN,RANK_LTGEN_FULL2,,1401600,,,,,,54,54,ranked_up_23,RANK_LTGEN_FULL_N
54,,1401600,55600,RANK_LTGEN,RANK_LTGEN_FULL3,,1457200,,,,,,55,55,ranked_up_23,RANK_LTGEN_FULL_N
